comuna,lat,long
Santiago,-33.437222,-70.657222
Cerrillos,-33.500000,-70.716667
Cerro Navia,-33.422000,-70.735000
Conchali,-33.380000,-70.675000
El Bosque,-33.567000,-70.675001
Estacion Central,-33.459000,-70.699000
Huechuraba,-33.368000,-70.634000
Independencia,-33.413000,-70.666000
La Cisterna,-33.529000,-70.663000
La Florida,-33.525000,-70.538000
La Granja,-33.533306,-70.625000
La Pintana,-33.583000,-70.634000
La Reina,-33.443000,-70.532000
Las Condes,-33.416667,-70.583333
Lo Barnechea,-33.350000,-70.516667
Lo Espejo,-33.522000,-70.687000
Lo Prado,-33.445000,-70.726000
Macul,-33.487000,-70.604000
Maipu,-33.516667,-70.766667
Ñuñoa,-33.454000,-70.604000
Pedro Aguirre Cerda,-33.466333,-70.633667
Peñalolen,-33.486189,-70.533333
Providencia,-33.435000,-70.616000
Pudahuel,-33.433333,-70.716667
Quilicura,-33.361000,-70.729000
Quinta Normal,-33.427000,-70.699000
Recoleta,-33.406000,-70.640000
Renca,-33.398000,-70.723000
San Joaquin,-33.491000,-70.628000
San Miguel,-33.485833,-70.649444
San Ramon,-33.533306,-70.641667
Vitacura,-33.400000,-70.600000
Puente Alto,-33.616000,-70.570000
San Bernardo,-33.582000,-70.687000